Learner Category,Learner Type,20th Percentile 13/14,40th Percentile 13/14,60th Percentile 13/14,80th Percentile 13/14,20th Percentile 14/15,40th Percentile 14/15,60th Percentile 14/15,80th Percentile 14/15,20th Percentile 15/16,40th Percentile 15/16,60th Percentile 15/16,80th Percentile 15/16
Full Level 2: Retail and Commercial Enterprise,All (excl. benefit learners),70,77,81,86,63,73,78,84,67,73,77,83
Full Level 2: Science and Mathematics,All (excl. benefit learners),84,88,90,93,85,87,90,92,84,87,89,92
Full Level 2: Social Sciences,All (excl. benefit learners),72,72,72,72,69,69,69,69,80,80,80,80
"Advanced and Higher Apprenticeships: Arts, Media and Publishing",Benefit learners,x,x,x,x,x,x,x,x,50,50,50,50
"Advanced and Higher Apprenticeships: Business, Administration and Law",Benefit learners,86,86,86,86,71,71,71,71,83,86,86,86
Advanced and Higher Apprenticeships: Engineering and Manufacturing Technologies,Benefit learners,100,100,100,100,x,x,x,x,77,77,77,77
"Advanced and Higher Apprenticeships: Health, Public Services and Care",Benefit learners,69,82,82,82,60,64,82,90,56,77,77,77
Advanced and Higher Apprenticeships: Information and Communication Technology,Benefit learners,50,70,95,95,75,75,80,86,81,90,91,91
"Advanced and Higher Apprenticeships: Leisure, Travel and Tourism",Benefit learners,76,76,76,76,x,x,x,x,x,x,x,x
"Full Level 3+: Agriculture, Horticulture and Animal Care",Benefit learners,69,75,85,92,73,73,73,73,x,x,x,x
"Full Level 3+: Arts, Media and Publishing",Benefit learners,67,79,79,81,58,63,78,78,67,67,67,93
"Full Level 3+: Business, Administration and Law",Benefit learners,65,67,73,78,79,79,83,91,52,54,56,67
"Full Level 3+: Construction, Planning and the Built Environment",Benefit learners,50,51,57,66,50,55,61,69,42,57,61,61
Full Level 3+: Education and Training,Benefit learners,64,80,80,85,80,80,91,91,60,60,78,78
Full Level 3+: Engineering and Manufacturing Technologies,Benefit learners,50,73,74,74,42,67,67,70,x,x,x,x
"Full Level 3+: Health, Public Services and Care",Benefit learners,68,72,77,82,67,73,79,80,63,64,64,71
Full Level 3+: Information and Communication Technology,Benefit learners,60,67,81,83,64,64,64,64,54,54,54,54
"Full Level 3+: Leisure, Travel and Tourism",Benefit learners,61,67,69,82,58,67,68,71,55,55,60,75
Full Level 3+: Retail and Commercial Enterprise,Benefit learners,50,56,59,71,50,50,62,67,50,67,71,71
Full Level 3+: Science and Mathematics,Benefit learners,85,85,85,85,77,77,92,92,x,x,x,x
"Intermediate Apprenticeships: Agriculture, Horticulture and Animal Care",Benefit learners,54,54,54,54,x,x,x,x,x,x,x,x
"Intermediate Apprenticeships: Business, Administration and Law",Benefit learners,75,84,90,95,73,83,90,94,51,72,84,95
"Intermediate Apprenticeships: Construction, Planning and the Built Environment",Benefit learners,65,65,67,83,73,80,93,93,76,76,76,76
Intermediate Apprenticeships: Engineering and Manufacturing Technologies,Benefit learners,78,78,91,98,76,76,91,96,67,67,74,94
"Intermediate Apprenticeships: Health, Public Services and Care",Benefit learners,67,77,87,95,75,75,86,89,75,83,88,91
"Intermediate Apprenticeships: Leisure, Travel and Tourism",Benefit learners,56,72,72,90,65,65,65,70,58,58,93,93
Intermediate Apprenticeships: Retail and Commercial Enterprise,Benefit learners,70,82,90,91,68,73,86,90,75,76,88,91
"Full Level 2: Agriculture, Horticulture and Animal Care",Benefit learners,50,51,51,53,47,47,48,48,42,42,64,64
"Full Level 2: Arts, Media and Publishing",Benefit learners,58,65,68,76,58,73,77,85,48,60,72,79
"Full Level 2: Business, Administration and Law",Benefit learners,52,55,63,68,52,58,63,71,48,53,55,66
"Full Level 2: Construction, Planning and the Built Environment",Benefit learners,54,55,60,70,47,52,59,65,51,57,62,77
Full Level 2: Education and Training,Benefit learners,55,67,73,85,58,58,69,76,50,53,53,54
Full Level 2: Engineering and Manufacturing Technologies,Benefit learners,57,63,66,70,58,59,64,67,52,60,63,64
"Full Level 2: Health, Public Services and Care",Benefit learners,57,61,64,70,56,64,68,73,56,60,63,71
Full Level 2: Information and Communication Technology,Benefit learners,61,63,63,63,60,64,64,64,61,63,63,63
"Full Level 2: Languages, Literature and Culture",Benefit learners,67,73,82,88,75,78,83,86,67,67,73,90
"Full Level 2: Leisure, Travel and Tourism",Benefit learners,57,67,74,82,50,60,70,74,40,58,62,68
Full Level 2: Preparation for Life and Work,Benefit learners,50,58,62,66,50,59,60,68,55,57,62,73
Full Level 2: Retail and Commercial Enterprise,Benefit learners,48,53,58,64,50,51,54,61,47,50,55,60
Full Level 2: Science and Mathematics,Benefit learners,76,81,83,86,77,81,83,90,64,79,83,91
