UKPRN,Provider Name,Provider Type,Completions 13/14,Bottom Quintile 13/14,Second Quintile 13/14,Third Quintile 13/14,Fourth Quintile 13/14,Top Quintile 13/14,Completions 14/15,Bottom Quintile 14/15,Second Quintile 14/15,Third Quintile 14/15,Fourth Quintile 14/15,Top Quintile 14/15,Completions 15/16,Bottom Quintile 15/16,Second Quintile 15/16,Third Quintile 15/16,Fourth Quintile 15/16,Top Quintile 15/16
10019026,BALTIC TRAINING SERVICES LIMITED,Private Sector Public Funded,1280,11,8,0,13,68,1990,11,1,23,13,52,1300,18,2,32,30,18
10000524,BARCHESTER HEALTHCARE LIMITED,Private Sector Public Funded,400,0,0,22,0,78,450,19,0,0,0,81,190,0,0,0,0,100
10000525,BARFORD EDUCATION AND TRAINING (NORTH EAST) LIMITED,Private Sector Public Funded,210,67,0,0,0,33,190,30,0,15,37,18,.,.,.,.,.,.
10000143,BARKING & DAGENHAM LONDON BOROUGH COUNCIL,Other Public Funded,1440,49,2,41,3,4,1270,17,0,43,33,6,720,4,37,50,5,4
10000528,BARKING AND DAGENHAM COLLEGE,General FE College incl Tertiary,7130,42,10,43,2,3,5150,37,38,9,12,3,4400,44,30,8,15,4
10000532,BARNARDO'S,Private Sector Public Funded,200,58,11,0,0,32,110,82,18,0,0,0,30,38,0,0,0,62
10000533,BARNET & SOUTHGATE COLLEGE,General FE College incl Tertiary,12190,17,60,10,11,2,10350,55,34,3,6,1,6280,26,45,19,9,2
10000534,BARNFIELD COLLEGE,General FE College incl Tertiary,7540,7,8,7,68,10,4130,31,3,13,46,7,2070,13,52,15,9,11
10000536,BARNSLEY COLLEGE,General FE College incl Tertiary,1950,8,18,23,11,40,1710,17,26,24,23,11,2230,14,18,49,11,9
10000538,BARNSLEY METROPOLITAN BOROUGH COUNCIL,Other Public Funded,1450,0,54,2,28,17,1420,2,69,1,16,11,1140,19,35,23,19,5
10000546,BARROW-IN-FURNESS SIXTH FORM COLLEGE,Other,150,8,0,0,0,92,170,0,9,0,0,91,10,0,0,0,0,100
10000552,BARTON PEVERIL SIXTH FORM COLLEGE,Other,360,15,54,5,13,13,340,3,0,31,14,51,260,6,31,29,14,19
