UKPRN,Provider Name,Learner Category,Completions 13/14 BL,Sustained Positive Destination Rate 13/14 BL,Quintile 13/14 BL,Completions 13/14 All,Sustained Positive Destination Rate 13/14 All,Quintile 13/14 All,Completions 14/15 BL,Sustained Positive Destination Rate 14/15 BL,Quintile 14/15 BL,Completions 14/15 All,Sustained Positive Destination Rate 14/15 All,Quintile 14/15 All,Completions 15/16 BL,Sustained Positive Destination Rate 15/16 BL,Quintile 15/16 BL,Completions 15/16 All,Sustained Positive Destination Rate 15/16 All,Quintile 15/16 All
10000055,ABINGDON AND WITNEY COLLEGE,Other provision below Full Level 2,40,67,top quintile,1030,79,fourth quintile,x,x,x,250,92,top quintile,20,61,top quintile,530,85,top quintile
10019646,ABIS RESOURCES LIMITED,"Full Level 3+: Health, Public Services and Care",.,.,.,.,.,.,.,.,.,x,x,x,x,x,x,50,66,bottom quintile
10000060,ACACIA TRAINING AND DEVELOPMENT LTD,LLDD learner,560,47,fourth quintile,330,52,bottom quintile,330,48,fourth quintile,300,51,bottom quintile,240,43,third quintile,240,59,second quintile
10000060,ACACIA TRAINING AND DEVELOPMENT LTD,"Advanced and Higher Apprenticeships: Business, Administration and Law",.,.,.,30,93,second quintile,.,.,.,30,100,top quintile,.,.,.,30,97,top quintile
10000060,ACACIA TRAINING AND DEVELOPMENT LTD,"Advanced and Higher Apprenticeships: Health, Public Services and Care",.,.,.,160,93,third quintile,.,.,.,110,95,top quintile,.,.,.,80,92,fourth quintile
10000060,ACACIA TRAINING AND DEVELOPMENT LTD,Advanced and Higher Apprenticeships: Retail and Commercial Enterprise,x,x,x,x,x,x,.,.,.,10,100,top quintile,.,.,.,x,x,x
10000060,ACACIA TRAINING AND DEVELOPMENT LTD,"Full Level 3+: Health, Public Services and Care",x,x,x,90,94,top quintile,.,.,.,40,95,top quintile,.,.,.,10,90,fourth quintile
10000060,ACACIA TRAINING AND DEVELOPMENT LTD,Other Level 3,.,.,.,50,98,top quintile,.,.,.,x,x,x,.,.,.,.,.,.
10000060,ACACIA TRAINING AND DEVELOPMENT LTD,"Intermediate Apprenticeships: Business, Administration and Law",x,x,x,30,89,bottom quintile,.,.,.,30,96,top quintile,.,.,.,20,95,top quintile
10000060,ACACIA TRAINING AND DEVELOPMENT LTD,"Intermediate Apprenticeships: Health, Public Services and Care",.,.,.,190,94,fourth quintile,.,.,.,130,95,top quintile,.,.,.,140,90,second quintile
10000060,ACACIA TRAINING AND DEVELOPMENT LTD,Intermediate Apprenticeships: Retail and Commercial Enterprise,.,.,.,20,95,top quintile,.,.,.,20,100,top quintile,.,.,.,10,69,bottom quintile
10000060,ACACIA TRAINING AND DEVELOPMENT LTD,"Full Level 2: Business, Administration and Law",20,84,top quintile,150,88,fourth quintile,x,x,x,40,89,third quintile,x,x,x,80,85,second quintile
10000060,ACACIA TRAINING AND DEVELOPMENT LTD,"Full Level 2: Health, Public Services and Care",.,.,.,290,93,fourth quintile,10,71,fourth quintile,270,89,second quintile,.,.,.,200,91,third quintile
10000060,ACACIA TRAINING AND DEVELOPMENT LTD,Full Level 2: Preparation for Life and Work,.,.,.,10,82,bottom quintile,.,.,.,x,x,x,.,.,.,.,.,.
10000060,ACACIA TRAINING AND DEVELOPMENT LTD,Traineeships,.,.,.,x,x,x,x,x,x,x,x,x,x,x,x,10,82,top quintile
10000060,ACACIA TRAINING AND DEVELOPMENT LTD,English & Maths,10,64,top quintile,50,90,top quintile,30,46,second quintile,90,92,top quintile,20,55,fourth quintile,100,89,top quintile
10000060,ACACIA TRAINING AND DEVELOPMENT LTD,Other provision below Full Level 2,1150,55,fourth quintile,100,39,bottom quintile,590,58,top quintile,140,69,second quintile,400,54,third quintile,170,55,bottom quintile
10000061,ACACIA TRAINING LIMITED,LLDD learner,.,.,.,x,x,x,.,.,.,x,x,x,.,.,.,30,93,top quintile
10000061,ACACIA TRAINING LIMITED,"Advanced and Higher Apprenticeships: Business, Administration and Law",.,.,.,20,80,bottom quintile,.,.,.,20,94,third quintile,.,.,.,10,50,bottom quintile
10000061,ACACIA TRAINING LIMITED,"Advanced and Higher Apprenticeships: Health, Public Services and Care",.,.,.,210,91,bottom quintile,x,x,x,250,89,bottom quintile,x,x,x,150,93,fourth quintile
10000061,ACACIA TRAINING LIMITED,"Full Level 3+: Business, Administration and Law",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,10,70,second quintile
10000061,ACACIA TRAINING LIMITED,Full Level 3+: Retail and Commercial Enterprise,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,70,82,top quintile
10000061,ACACIA TRAINING LIMITED,"Intermediate Apprenticeships: Health, Public Services and Care",x,x,x,280,90,bottom quintile,x,x,x,440,90,second quintile,x,x,x,190,95,top quintile
10000061,ACACIA TRAINING LIMITED,"Full Level 2: Health, Public Services and Care",x,x,x,30,96,top quintile,.,.,.,.,.,.,.,.,.,.,.,.
10000061,ACACIA TRAINING LIMITED,English & Maths,.,.,.,10,70,bottom quintile,.,.,.,x,x,x,.,.,.,.,.,.
10000191,ACADEMY EDUCATION LIMITED,Advanced and Higher Apprenticeships: Retail and Commercial Enterprise,.,.,.,30,90,second quintile,.,.,.,30,85,bottom quintile,.,.,.,40,85,second quintile
10000191,ACADEMY EDUCATION LIMITED,Intermediate Apprenticeships: Retail and Commercial Enterprise,.,.,.,50,81,bottom quintile,x,x,x,50,89,second quintile,.,.,.,50,78,bottom quintile
10024597,ACADEMY TRAINING GROUP LIMITED,"Full Level 3+: Construction, Planning and the Built Environment",.,.,.,.,.,.,.,.,.,50,80,third quintile,x,x,x,30,60,bottom quintile
10039859,ACADEMY TRANSFORMATION TRUST,LLDD learner,80,36,bottom quintile,350,49,bottom quintile,50,37,bottom quintile,240,60,second quintile,30,41,second quintile,180,71,third quintile
10039859,ACADEMY TRANSFORMATION TRUST,"Advanced and Higher Apprenticeships: Business, Administration and Law",.,.,.,x,x,x,x,x,x,x,x,x,.,.,.,10,91,bottom quintile
10039859,ACADEMY TRANSFORMATION TRUST,Full Level 3+: Education and Training,.,.,.,x,x,x,x,x,x,x,x,x,x,x,x,60,90,fourth quintile
10039859,ACADEMY TRANSFORMATION TRUST,"Full Level 3+: Health, Public Services and Care",x,x,x,40,83,second quintile,x,x,x,20,74,bottom quintile,.,.,.,20,100,top quintile
10039859,ACADEMY TRANSFORMATION TRUST,Access to HE,.,.,.,10,90,third quintile,.,.,.,x,x,x,.,.,.,.,.,.
10039859,ACADEMY TRANSFORMATION TRUST,Other Level 3,x,x,x,30,78,second quintile,x,x,x,40,85,fourth quintile,.,.,.,x,x,x
